Abbreviation,Meaning (English),Meaning (Welsh)
1s,1st person singular,person 1af unigol
2s,2nd person singular,person 2il unigol
3s,3rd person singular,person 3ydd unigol
1p,1st person plural,person 1af lluosog
2p,2nd person plural,person 2il lluosog
3p,3rd person plural,person 3ydd lluosog
0,impersonal,amhersonol
adj,adjective,ansoddair
adv,adverb,adferf
comp,comparative,cymharol
cond,conditional,amodol
conj,conjunction,cysylltair
dem,demonstrative,dangosair
dim,diminutive,bachigol
f,feminine,benywaidd
fut,future,dyfodol
imper,imperative,gorchmynnol
hyp,hypothetical,damcaniaethol
imperf,imperfect,amherffaith
infin,infinitive,annherfynnol
int,interrogative,gofynnol
m,masculine,gwrywaidd
mf,masculine or feminine,gwrywaidd neu fenywaidd
neg,negative,negyddol
n,noun,enw
num,numeral,rhifolyn
ord,ordinal,trefnol
past,past,gorffennol
pluperf,pluperfect,gorberffaith
poss,possessive,meddiannol
pl,plural,lluosog
prep,preposition,arddodiad
preq,prequalifier,cyn-oleddfair
pron,pronoun,rhagenw
quan,quantifier,meintolwr
rel,relative,perthynol
sg,singular,unigol
sp,singular or plural,unigol neu luosog
subj,subjunctive,dibynnol
v,verb,berf
